VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,03/25/2017 8:55:43 AM,03/25/2017 9:09:47 AM,6,3.34,1,N,100,231,1,13,0,0.5,2.76,0,0.3,16.56
1,4/11/2017 14:53,4/11/2017 15:19,1,1.8,1,N,186,43,1,16,0,0.5,4,0,0.3,20.8
1,12/15/2017 7:26:56 AM,12/15/2017 7:34:08 AM,1,1,1,N,262,236,1,6.5,0,0.5,1.45,0,0.3,8.75
2,5/7/2017 13:17,5/7/2017 13:48,1,3.7,1,N,188,97,1,20.5,0,0.5,6.39,0,0.3,27.69
2,04/15/2017 11:32:20 PM,04/15/2017 11:49:03 PM,1,4.37,1,N,4,112,2,16.5,0.5,0.5,0,0,0.3,17.8
2,03/25/2017 8:34:11 PM,03/25/2017 8:42:11 PM,6,2.3,1,N,161,236,1,9,0.5,0.5,2.06,0,0.3,12.36
2,5/3/2017 19:04,5/3/2017 20:03,1,12.83,1,N,79,241,1,47.5,1,0.5,9.86,0,0.3,59.16
2,08/15/2017 5:41:06 PM,08/15/2017 6:03:05 PM,1,2.98,1,N,237,114,1,16,1,0.5,1.78,0,0.3,19.58
2,2/4/2017 16:17,2/4/2017 16:29,1,1.2,1,N,234,249,2,9,0,0.5,0,0,0.3,9.8
1,11/10/2017 15:20,11/10/2017 15:40,1,1.6,1,N,239,237,1,13,0,0.5,2.75,0,0.3,16.55
2,3/4/2017 11:58,3/4/2017 12:13,1,1.77,1,N,162,142,1,11.5,0,0.5,2.46,0,0.3,14.76
2,3/5/2017 19:15,3/5/2017 19:52,2,18.9,2,N,236,132,1,52,0,0.5,14.58,5.54,0.3,72.92
1,6/9/2017 19:00,6/9/2017 19:20,1,3,1,N,13,148,1,15,1,0.5,3.35,0,0.3,20.15
2,11/6/2017 23:35,11/6/2017 23:42,1,2.39,1,N,209,25,1,9.5,0.5,0.5,2.16,0,0.3,12.96
1,02/22/2017 3:18:31 PM,02/22/2017 3:42:50 PM,1,3.3,1,N,238,161,1,17.5,0,0.5,4.55,0,0.3,22.85
2,6/2/2017 6:41,6/2/2017 6:57,1,5.93,1,N,239,231,1,19,0,0.5,3,0,0.3,22.8
1,08/15/2017 7:48:08 PM,08/15/2017 8:00:37 PM,1,3.6,1,N,163,41,1,12.5,1,0.5,2.85,0,0.3,17.15
2,7/10/2017 13:36,7/10/2017 13:48,2,1.71,1,N,142,100,1,9.5,0,0.5,0,0,0.3,10.3
2,4/10/2017 18:12,4/10/2017 18:17,2,0.63,1,N,263,262,2,5,1,0.5,0,0,0.3,6.8
2,3/5/2017 4:01,3/5/2017 4:14,2,2.77,1,N,79,68,1,11.5,0.5,0.5,3.2,0,0.3,16
