fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,total_points,efficiency
34.7,25.0,69.9,4.1,1.9,0.4,0.4,1.3,0,266.40000000000003,9.72262773722628
29.6,23.5,76.5,2.4,3.7,1.1,0.5,1.6,0,252.0,9.368029739776953
42.2,24.4,67.0,2.2,1.0,0.5,0.3,1.0,0,384.8,25.15032679738562
42.6,22.6,68.9,1.9,0.8,0.6,0.1,1.0,1,330.6,28.500000000000004
52.4,0.0,67.4,2.5,0.3,0.3,0.4,0.8,1,216.0,18.782608695652176
42.3,32.5,73.2,0.8,1.8,0.4,0.0,0.7,0,277.5,24.342105263157894
43.5,50.0,81.1,2.0,0.6,0.2,0.1,0.7,1,409.2,37.54128440366972
41.5,30.0,87.5,1.7,0.2,0.2,0.1,0.7,1,273.6,26.563106796116504
39.2,23.3,71.4,0.8,2.3,0.3,0.0,1.1,0,156.0,15.757575757575758
38.3,21.4,67.8,1.1,0.3,0.2,0.0,0.7,0,155.4,18.28235294117647
36.5,33.3,81.8,0.9,0.7,0.1,0.1,0.3,0,80.5,11.666666666666666
39.8,13.6,77.6,1.2,0.4,0.3,0.1,0.6,1,144.0,21.492537313432834
47.2,0.0,28.6,2.0,0.2,0.2,0.6,0.3,1,35.1,5.318181818181818
32.3,30.1,86.1,2.0,0.5,0.5,0.3,0.5,0,251.99999999999997,16.470588235294116
53.7,0.0,50.0,1.4,0.2,0.2,0.4,0.6,1,105.6,16.499999999999996
51.4,14.3,68.4,0.4,1.4,0.3,0.0,0.8,1,104.0,17.049180327868854
37.6,0.0,64.2,1.2,0.2,0.3,0.2,0.5,0,102.9,19.415094339622645
34.8,21.4,73.1,0.3,1.0,0.3,0.0,0.4,0,69.7,16.595238095238095
49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,0,1574.3999999999999,42.32258064516128
49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,1,1574.3999999999999,42.32258064516128
52.5,11.1,65.4,8.0,2.4,1.1,0.8,2.2,1,1144.0,36.433121019108285
48.9,16.7,66.6,5.1,2.5,1.5,0.3,2.2,1,1090.6000000000001,35.757377049180334
