color,cut,price,log_price
E,Ideal,326,5.786897381366708
E,Premium,326,5.786897381366708
I,Premium,334,5.811140992976701
I,Very Good,336,5.817111159963204
H,Very Good,337,5.820082930352362
H,Very Good,338,5.823045895483019
F,Premium,342,5.834810737062605
E,Premium,345,5.84354441703136
E,Premium,345,5.84354441703136
I,Ideal,348,5.8522024797744745
E,Very Good,352,5.863631175598097
H,Very Good,353,5.8664680569332965
I,Premium,355,5.872117789475416
D,Very Good,357,5.877735781779639
F,Very Good,357,5.877735781779639
F,Very Good,402,5.996452088619021
F,Very Good,402,5.996452088619021
E,Very Good,402,5.996452088619021
E,Very Good,402,5.996452088619021
D,Very Good,402,5.996452088619021
D,Very Good,403,5.998936561946683
I,Ideal,403,5.998936561946683
I,Ideal,403,5.998936561946683
F,Premium,403,5.998936561946683
H,Very Good,403,5.998936561946683
E,Very Good,404,6.0014148779611505
H,Very Good,404,6.0014148779611505
F,Very Good,404,6.0014148779611505
I,Ideal,404,6.0014148779611505
E,Premium,404,6.0014148779611505
D,Premium,404,6.0014148779611505
I,Ideal,405,6.003887067106539
I,Very Good,405,6.003887067106539
I,Very Good,405,6.003887067106539
I,Ideal,552,6.313548046277095
D,Premium,552,6.313548046277095
D,Ideal,552,6.313548046277095
D,Ideal,552,6.313548046277095
I,Premium,552,6.313548046277095
I,Ideal,553,6.315358001522335
E,Premium,553,6.315358001522335
D,Very Good,553,6.315358001522335
H,Very Good,554,6.317164686747284
H,Premium,554,6.317164686747284
H,Premium,554,6.317164686747284
F,Very Good,554,6.317164686747284
E,Very Good,554,6.317164686747284
D,Very Good,554,6.317164686747284
D,Very Good,554,6.317164686747284
E,Very Good,554,6.317164686747284
E,Very Good,554,6.317164686747284
D,Very Good,554,6.317164686747284
E,Ideal,554,6.317164686747284
I,Ideal,554,6.317164686747284
H,Premium,554,6.317164686747284
H,Premium,554,6.317164686747284
H,Premium,554,6.317164686747284
I,Premium,554,6.317164686747284
E,Ideal,2757,7.921898411023797
E,Very Good,2759,7.922623574217286
E,Very Good,2760,7.9229859587111955
H,Premium,2760,7.9229859587111955
D,Very Good,2760,7.9229859587111955
E,Premium,2760,7.9229859587111955
I,Ideal,2760,7.9229859587111955
I,Ideal,2761,7.923348211930154
F,Ideal,2761,7.923348211930154
E,Ideal,2761,7.923348211930154
F,Ideal,2761,7.923348211930154
E,Ideal,2761,7.923348211930154
I,Premium,2761,7.923348211930154
F,Ideal,2762,7.923710333969238
F,Ideal,2762,7.923710333969238
F,Premium,2762,7.923710333969238
E,Ideal,2762,7.923710333969238
F,Ideal,2762,7.923710333969238
D,Ideal,2762,7.923710333969238
E,Ideal,2762,7.923710333969238
F,Very Good,2762,7.923710333969238
F,Premium,2762,7.923710333969238
