TV,Radio,Social Media,Influencer,Sales
Low,1.218353879,1.270443869,Micro,90.05422241
Medium,14.94979109,0.274450752,Macro,222.741668
Low,10.37725789,0.061983883,Mega,102.7747905
High,26.46927388,7.070945085,Micro,328.2393781
High,36.87630184,7.618605058,Mega,351.8073281
High,25.56191025,5.459718097,Micro,261.9668123
High,37.26381865,6.88653481,Nano,349.8615752
Low,13.18725635,2.766352269,Macro,140.4152859
High,29.52017002,2.333157382,Nano,264.5922333
Low,3.773286785,0.135074302,Nano,55.67421374
Low,2.589298485,4.232246203,Macro,138.1027677
Low,6.308065519,2.636176178,Macro,117.1749685
High,31.02302738,7.352545034,Macro,318.149536
Medium,22.15078407,5.855266971,Macro,200.4014788
Medium,12.77031589,2.776046037,Macro,155.3676653
High,34.98456952,11.26042983,Macro,301.4931202
Medium,20.77717376,2.831544226,Macro,245.2427203
Low,10.57992982,0.064459595,Mega,117.0207161
High,28.25584373,5.699994101,Mega,298.8823429
Medium,22.92648803,5.522947611,Nano,237.9890855
Medium,15.31054288,2.280185979,Macro,191.4832078
High,27.33731038,2.839123372,Mega,350.1683343
Low,11.85926874,1.787562176,Mega,110.3772781
Low,13.22766271,5.247674761,Nano,98.78179678
Medium,12.22739961,1.306053839,Nano,162.3039063
High,34.47576407,4.93427199,Macro,347.5524099
Low,17.75660719,4.547851426,Micro,55.40369343
Medium,25.46799432,2.998558134,Micro,163.2057608
Medium,23.08148805,3.056298128,Macro,219.5681841
High,28.65671877,3.518439608,Macro,358.4207386
High,23.83835402,2.826565354,Nano,249.6328332
Medium,15.50255633,4.69488484,Macro,161.7826384
High,26.8474977,0.555850618,Macro,351.8627923
High,26.62195735,3.352122062,Mega,282.0505985
Low,10.38645507,4.847890485,Mega,59.11681259
Low,10.43400455,2.627862541,Micro,49.6229099
Low,6.621635323,0.113631173,Mega,79.93998662
High,32.75641678,1.581845181,Macro,321.7478782
Low,11.69240657,0.684877506,Macro,120.1173914
Medium,19.65653268,3.380057305,Mega,245.0944279
High,25.69736441,4.354449016,Macro,273.6721056
Medium,11.66685228,3.124114188,Nano,147.6703206
Medium,23.11923457,2.99421459,Mega,153.5565567
Medium,15.49815546,0.169996911,Macro,166.9833119
High,30.89825295,4.79585416,Macro,340.1787683
High,27.33577511,5.263650376,Micro,290.7775735
Medium,26.21474469,5.257853498,Micro,237.886004
Low,4.549974224,0.968120529,Macro,39.99255416
High,24.64889821,7.130115956,Macro,270.1894
High,35.31185933,5.238633498,Nano,329.0311993
Medium,12.97234194,4.980146826,Mega,148.9565486
High,30.36493938,5.110394334,Mega,259.695649
Medium,27.59890985,3.606600914,Nano,218.2020915
Low,14.30888641,1.266797266,Mega,123.4672451
Medium,20.73115242,2.60083973,Macro,219.2762729
Low,3.785254654,1.569644569,Micro,45.55251127
Low,14.44136866,0.342016761,Micro,74.21648745
Medium,28.35259165,4.69537646,Mega,229.1419119
Medium,17.30522246,3.579885761,Micro,241.3253526
Low,16.69619826,4.790839785,Micro,131.2500263
Medium,24.36575611,5.020143563,Macro,194.5312641
Low,14.68411591,0.975862762,Micro,87.8650301
Low,8.526778372,1.872740701,Nano,83.14710788
Low,22.37705463,5.517499206,Nano,134.1887091
Medium,25.88765729,3.593714636,Nano,150.9429499
Low,2.234293408,1.07771826,Mega,55.00971238
Low,7.75687576,2.572286867,Mega,67.57490362
Low,7.085628089,0.620930871,Nano,36.56273
Medium,14.90938897,0.172817665,Macro,164.122387
High,20.36512667,4.010355503,Nano,259.5772624
High,29.86234905,0.917605295,Macro,276.1736609
High,17.41828715,0.483527663,Micro,263.548753
High,35.23872291,2.678608349,Mega,353.0973035
Medium,25.13907969,3.249423621,Nano,231.6576938
Low,7.225799684,1.333769168,Macro,81.65390429
High,26.74193614,3.619405288,Macro,300.5207358
High,28.92043035,3.213066798,Micro,285.3921433
High,24.99209995,4.209574548,Macro,277.2413366
High,30.51678552,4.253765851,Mega,286.3361747
Low,7.919849465,0.075237086,Mega,107.0381741
Low,7.759085036,1.017372135,Micro,94.71314891
Low,6.397648245,0.151215719,Nano,70.77050774
Low,2.361074628,3.343804334,Macro,83.04290787
High,28.50814283,5.1302272,Nano,311.0813249
Low,5.363569955,0.89945807,Mega,127.6646972
Medium,14.76555949,4.811434198,Nano,180.7565911
Low,14.40248296,2.874709242,Micro,147.0288967
Low,13.05041081,1.971184795,Nano,139.2887894
Low,5.264623343,2.531732224,Nano,130.9591588
Low,4.027757616,0.216286524,Micro,44.06889906
High,29.12147199,7.916414207,Nano,289.6405858
Medium,17.74524356,5.489125047,Mega,214.1153027
High,37.37620072,2.616112731,Nano,314.5549903
Medium,18.90404688,3.609313091,Nano,161.5873361
Low,13.19716034,2.334421349,Nano,109.6832077
Low,10.9248179,2.761077651,Nano,120.4480819
High,40.28751595,3.937106656,Nano,354.2925152
High,17.98193992,1.675082402,Micro,248.8023789
Low,10.89003569,3.371902326,Mega,104.4081903
Low,4.501081536,1.91382614,Micro,99.73547127
Low,17.44947546,0.887761603,Macro,119.3308074
Medium,12.49816459,1.463925159,Micro,192.4104277
Medium,15.51307679,1.626380158,Mega,155.0412374
High,28.69482119,1.184927259,Macro,347.6217435
Medium,19.83461673,7.641127922,Nano,210.2300459
Low,11.66355563,0.421868807,Micro,130.1610471
High,31.70701011,4.365166691,Nano,347.1547599
Medium,21.00550622,2.405095013,Micro,184.0915955
Low,4.074671666,2.969846102,Nano,48.53912162
High,15.73486797,0.509432226,Macro,281.9068631
Medium,19.16538374,0.917988194,Nano,240.3937428
Medium,24.95557114,3.886572721,Micro,231.3658464
Low,16.35728777,0.910704373,Nano,131.0122933
Low,19.68456771,5.02955855,Macro,118.8855532
Low,21.47726978,3.45746956,Macro,113.6751386
High,26.19652482,5.181134485,Mega,286.7701102
Low,12.26220119,0.43813494,Macro,136.5561795
High,26.8926879,3.890886001,Nano,327.8695387
High,30.20696161,8.387590266,Macro,297.8406918
Low,12.63758596,0.308467931,Micro,112.8147944
Low,8.529031827,4.146156202,Macro,76.28530204
Low,0.364453104,0.471870511,Micro,56.76894157
High,24.46123389,7.508531221,Nano,261.5153506
Low,13.43185072,1.969664799,Micro,113.3354651
Medium,13.39621739,4.181491721,Mega,164.7607918
Low,8.822604644,0.388314589,Mega,86.78602638
High,23.68041523,3.618129755,Micro,266.3690338
High,32.72043521,4.622529206,Mega,355.3688708
Medium,22.46814636,3.369146029,Nano,201.6903809
High,19.48177541,2.244635012,Macro,277.4437268
Medium,11.27077509,0.489079881,Nano,202.3643006
Medium,13.95053433,0.174759871,Micro,212.3449809
High,22.61804745,4.160026631,Mega,301.3706769
Low,9.235845656,2.963209488,Nano,93.35175941
Medium,20.08171295,0.884518198,Macro,233.0850067
Low,4.32467821,1.383422123,Mega,60.91377507
Medium,30.51105176,2.625733254,Micro,232.9948515
Medium,30.6827721,6.365577398,Micro,213.2245182
Medium,23.05943072,4.309633654,Micro,177.4958727
Low,4.097286683,2.29020686,Mega,89.30548354
Medium,22.22292707,3.600054733,Nano,174.8927672
Medium,13.86884055,0.415369459,Mega,208.2141876
Medium,7.870960618,4.867663371,Micro,176.1282464
Medium,18.05932459,1.510221039,Mega,231.3045141
High,30.40958262,6.126358542,Mega,306.7707311
High,34.09508164,6.181578337,Micro,274.5504178
Low,2.201752448,0.376547887,Nano,80.45443519
Low,10.68280618,0.114819597,Nano,88.57345956
High,26.23719393,2.72964696,Macro,316.0589847
Medium,18.95737635,2.877555299,Macro,183.4840455
Medium,7.143984704,1.185990305,Mega,142.4169063
Medium,24.08129979,6.713941984,Micro,233.7412523
Low,5.040121601,0.704360749,Mega,36.86056147
Low,7.868453405,1.960643728,Nano,99.31009056
Medium,28.38518716,6.157704568,Micro,222.4507601
High,24.73579762,4.85653667,Nano,279.5227695
Medium,20.93650521,4.774722284,Micro,166.7833803
Medium,22.78233554,1.590795934,Mega,164.5918119
Medium,20.71221941,5.464031097,Nano,228.4325974
Medium,29.74677107,4.842879655,Nano,245.158013
Medium,29.73254005,2.01239532,Mega,212.6020547
High,16.85283064,4.371485674,Micro,258.8694192
High,30.57840248,3.043517305,Nano,347.1590861
High,35.39746031,4.222176063,Mega,312.2336385
Medium,16.60417853,5.253646762,Nano,212.4874444
