vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,passengercount,tripdistance,fareamount,extra,mtatax,tipamount,tollsamount,improvementsurcharge,totalamount,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,duration
1,1,0,0,0,0,0,0,0,0,0,0,0,6,3.34,13.0,0.0,0.5,2.76,0.0,0.3,16.56,1,0,0,0,1,0,844.0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.8,16.0,0.0,0.5,4.0,0.0,0.3,20.8,0,1,0,0,1,0,1560.0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.0,6.5,0.0,0.5,1.45,0.0,0.3,8.75,1,0,0,1,0,0,432.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,4.37,16.5,0.5,0.5,0.0,0.0,0.3,17.8,0,0,1,0,0,1,1003.0
1,1,0,0,1,0,0,0,0,1,0,0,0,6,2.3,9.0,0.5,0.5,2.06,0.0,0.3,12.36,0,0,1,0,0,1,480.0
1,1,0,1,0,0,0,0,0,0,0,0,0,1,2.98,16.0,1.0,0.5,1.78,0.0,0.3,19.58,0,0,1,0,0,1,1319.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.2,9.0,0.0,0.5,0.0,0.0,0.3,9.8,0,1,0,0,1,0,720.0
0,1,0,0,0,0,0,0,0,0,1,0,0,1,1.6,13.0,0.0,0.5,2.75,0.0,0.3,16.55,0,1,0,0,1,0,1200.0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,1.77,11.5,0.0,0.5,2.46,0.0,0.3,14.76,0,1,0,0,1,0,900.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.0,15.0,1.0,0.5,3.35,0.0,0.3,20.15,0,0,1,0,0,1,1200.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.39,9.5,0.5,0.5,2.16,0.0,0.3,12.96,0,0,1,0,0,1,420.0
0,1,0,0,0,0,0,0,1,0,0,0,0,1,3.3,17.5,0.0,0.5,4.55,0.0,0.3,22.85,0,1,0,0,1,0,1459.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,5.93,19.0,0.0,0.5,3.0,0.0,0.3,22.8,1,0,0,1,0,0,960.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.6,12.5,1.0,0.5,2.85,0.0,0.3,17.15,0,0,1,0,0,1,749.0
1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.71,9.5,0.0,0.5,0.0,0.0,0.3,10.3,0,1,0,0,1,0,720.0
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0.63,5.0,1.0,0.5,0.0,0.0,0.3,6.8,0,0,1,0,0,1,300.0
1,1,0,0,0,0,0,0,0,0,0,0,0,2,2.77,11.5,0.5,0.5,3.2,0.0,0.3,16.0,1,0,0,1,0,0,780.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.1,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0,0,1,0,0,1,373.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.52,5.5,0.5,0.5,1.0,0.0,0.3,7.8,0,0,1,0,0,1,360.0
0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.7,7.0,0.5,0.5,2.05,0.0,0.3,10.35,0,0,0,0,0,0,323.0
