vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,passengercount,tripdistance,fareamount,tipamount,totalamount,duration
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,0.5422077922077921,0.49056603773584906,0.4532019704433497,0.5348837209302325,844.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.2922077922077922,0.6037735849056604,0.6568144499178982,0.6718346253229974,1560.0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.16233766233766234,0.24528301886792453,0.23809523809523808,0.2826227390180878,432.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.7094155844155844,0.6226415094339622,0.0,0.5749354005167958,1003.0
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1.0,0.37337662337662336,0.33962264150943394,0.33825944170771755,0.3992248062015503,480.0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.48376623376623373,0.6037735849056604,0.2922824302134647,0.6324289405684753,1319.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.1948051948051948,0.33962264150943394,0.0,0.31653746770025837,720.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.16666666666666666,0.25974025974025977,0.49056603773584906,0.451559934318555,0.5345607235142119,1200.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.28733766233766234,0.43396226415094336,0.4039408866995074,0.4767441860465116,900.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.487012987012987,0.5660377358490566,0.5500821018062397,0.6508397932816536,1200.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.387987012987013,0.3584905660377358,0.35467980295566504,0.41860465116279066,420.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.5357142857142857,0.660377358490566,0.7471264367816092,0.7380490956072351,1459.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.9626623376623376,0.7169811320754716,0.4926108374384236,0.7364341085271318,960.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.5844155844155844,0.4716981132075472,0.46798029556650245,0.5539405684754521,749.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.27759740259740256,0.3584905660377358,0.0,0.332687338501292,720.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.3333333333333333,0.10227272727272728,0.18867924528301885,0.0,0.2196382428940568,300.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.3333333333333333,0.4496753246753247,0.43396226415094336,0.5254515599343186,0.5167958656330749,780.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.17857142857142858,0.24528301886792453,0.0,0.251937984496124,373.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.08441558441558442,0.20754716981132074,0.16420361247947454,0.251937984496124,360.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.275974025974026,0.2641509433962264,0.3366174055829228,0.33430232558139533,323.0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.16666666666666666,0.1461038961038961,0.20754716981132074,0.20525451559934318,0.24386304909560721,278.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.2792207792207792,0.3018867924528302,0.458128078817734,0.3905038759689922,437.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.4383116883116883,0.49056603773584906,0.46798029556650245,0.5539405684754521,1020.0
1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.137987012987013,0.20754716981132074,0.0,0.20348837209302323,284.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.37337662337662336,0.4150943396226415,0.38587848932676516,0.45704134366925064,875.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.37337662337662336,0.3962264150943396,0.29064039408866993,0.43830749354005166,780.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.6666666666666666,0.2435064935064935,0.33962264150943394,0.0,0.31653746770025837,720.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.47077922077922074,0.5849056603773585,0.5665024630541872,0.670219638242894,1375.0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.275974025974026,0.3962264150943396,0.2791461412151067,0.41989664082687334,780.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.8333333333333333,0.4366883116883117,0.3584905660377358,0.0,0.3488372093023256,480.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.0974025974025974,0.18867924528301885,0.0,0.18733850129198965,268.0
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.3425324675324675,0.43396226415094336,0.4039408866995074,0.4767441860465116,831.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6666666666666666,0.06493506493506494,0.1509433962264151,0.11822660098522167,0.17829457364341084,180.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.2077922077922078,0.2830188679245283,0.8210180623973727,0.4295865633074935,540.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0.19967532467532467,0.3584905660377358,0.3711001642036124,0.437984496124031,795.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.3246753246753247,0.33962264150943394,0.32019704433497537,0.3795219638242894,534.0
