trip_distance,tip_amount,total_amount,seconds
3.34,2.76,16.56,844.0
1.8,4.0,20.8,1560.0
1.0,1.45,14.700808153250637,432.0
3.7,6.39,27.69,1860.0000000000002
4.37,0.0,17.8,1003.0000000000001
2.3,2.06,14.700808153250637,480.00000000000006
12.83,9.86,59.16,3540.0
2.98,1.78,19.58,1319.0
1.2,0.0,14.700808153250637,720.0
1.6,2.75,16.55,1200.0
1.77,2.46,14.76,900.0
18.9,14.58,72.92,2220.0
3.0,3.35,20.15,1200.0
2.39,2.16,14.700808153250637,420.0
3.3,4.55,22.85,1459.0
5.93,3.0,22.8,960.0000000000001
3.6,2.85,17.15,749.0
1.71,0.0,14.700808153250637,720.0
0.63,0.0,14.700808153250637,300.0
2.77,3.2,16.0,780.0
1.1,0.0,14.700808153250637,373.0
12.3,12.0,96.81,2880.0
0.52,1.0,14.700808153250637,360.0
1.7,2.05,14.700808153250637,323.0
0.9,1.25,14.700808153250637,278.0
1.72,2.79,14.700808153250637,437.0
2.7,2.85,17.15,1020.0000000000001
0.85,0.0,14.700808153250637,284.0
2.3,2.35,14.700808153250637,875.0
30.83,18.56,111.38,12600.0
2.3,1.77,14.700808153250637,780.0
1.5,0.0,14.700808153250637,720.0
14.32,0.0,41.8,1739.0
2.9,3.45,20.75,1375.0
1.7,1.7,14.700808153250637,780.0
2.69,0.0,14.700808153250637,480.00000000000006
0.6,0.0,14.700808153250637,268.0
2.11,2.46,14.76,831.0
0.4,0.72,14.700808153250637,180.0
1.28,5.0,14.700808153250637,540.0
1.23,2.26,14.700808153250637,795.0
2.0,1.95,14.700808153250637,534.0
4.52,2.0,19.3,960.0000000000001
1.12,1.82,14.700808153250637,392.0
0.59,1.36,14.700808153250637,300.0
1.5,2.55,14.700808153250637,596.0
1.71,0.0,14.700808153250637,900.0
8.69,6.56,39.36,2410.0
2.69,0.0,14.700808153250637,660.0
0.42,0.86,14.700808153250637,84.0
7.37,0.0,26.3,1451.0
2.2,0.0,14.700808153250637,780.0
2.6,0.0,18.3,1680.0
0.8,1.26,14.700808153250637,197.0
2.9,0.0,16.8,1380.0
11.07,6.76,40.56,1554.0
2.7,4.05,20.35,1320.0
2.51,3.39,14.700808153250637,600.0
