passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,VendorID_2,RatecodeID_2,RatecodeID_3,RatecodeID_4,RatecodeID_5,RatecodeID_99,store_and_fwd_flag_Y,payment_type_2,payment_type_3,payment_type_4,minutes
6,3.34,469,406,13.0,0.0,0.5,2.76,0.0,0.3,16.56,1,0,0,0,0,0,0,0,0,0,14.066666666666666
1,1.0,259,802,6.5,0.0,0.5,1.45,0.0,0.3,8.75,0,0,0,0,0,0,0,0,0,0,7.2
6,2.3,861,802,9.0,0.5,0.5,2.06,0.0,0.3,12.36,1,0,0,0,0,0,0,0,0,0,8.000000000000002
1,1.6,583,759,13.0,0.0,0.5,2.75,0.0,0.3,16.55,0,0,0,0,0,0,0,0,0,0,20.0
1,1.77,779,612,11.5,0.0,0.5,2.46,0.0,0.3,14.76,1,0,0,0,0,0,0,0,0,0,15.0
1,2.39,37,44,9.5,0.5,0.5,2.16,0.0,0.3,12.96,1,0,0,0,0,0,0,0,0,0,7.0
1,3.6,611,141,12.5,1.0,0.5,2.85,0.0,0.3,17.15,0,0,0,0,0,0,0,0,0,0,12.483333333333333
2,2.77,617,521,11.5,0.5,0.5,3.2,0.0,0.3,16.0,1,0,0,0,0,0,0,0,0,0,13.0
1,0.52,463,391,5.5,0.5,0.5,1.0,0.0,0.3,7.8,1,0,0,0,0,0,0,0,0,0,6.0
1,1.7,779,369,7.0,0.5,0.5,2.05,0.0,0.3,10.35,0,0,0,0,0,0,0,0,0,0,5.383333333333334
1,0.9,890,759,5.5,0.0,0.5,1.25,0.0,0.3,7.55,0,0,0,0,0,0,0,0,0,0,4.633333333333334
1,1.72,292,518,8.0,0.5,0.5,2.79,0.0,0.3,12.09,1,0,0,0,0,0,0,0,0,0,7.283333333333333
1,2.7,227,369,13.0,0.5,0.5,2.85,0.0,0.3,17.15,0,0,0,0,0,0,0,0,0,0,17.000000000000004
1,2.3,779,299,11.0,0.0,0.5,2.35,0.0,0.3,14.15,0,0,0,0,0,0,0,0,0,0,14.583333333333334
1,2.3,611,661,10.5,0.5,0.5,1.77,0.0,0.3,13.57,0,0,0,0,0,0,0,0,0,0,13.0
1,1.7,785,858,10.5,0.0,0.5,1.7,0.0,0.3,13.0,0,0,0,0,0,0,0,0,0,0,13.0
