drives,totalsessions,ndaysafteronboarding,totalnavigationsfav1,totalnavigationsfav2,drivenkmdrives,durationminutesdrives,activitydays,kmperdrivingday,professionaldriver,android,label
95,135.5229263,2651,0,0,3059.148818,1610.735904,14,382.39360225,0,1,0
40,67.58922127,15,322,7,913.5911231,587.1965423,7,304.53037436666665,0,0,0
68,168.2470201,1562,166,5,3950.202008,1219.555924,27,219.45566711111115,0,1,0
103,279.5444373,2637,0,0,901.2386985,439.1013973,15,81.93079077272728,0,0,0
35,176.0728446,2999,0,0,7892.052468,2466.981741,22,394.6026234,0,0,0
46,183.5320177,424,0,26,2651.709764,1594.342984,25,132.5854882,0,1,0
41,109.8818549,2760,64,0,2512.308716,1717.268618,12,209.35905966666667,0,0,0
66,401.3518086,2524,54,24,5922.811202,2227.280393,0,0.0,0,1,1
22,95.2921595,50,193,0,2188.829771,1775.713499,11,218.8829771,0,0,0
25,41.53837224,1554,61,19,1213.549279,949.1301246,17,93.34994453846154,0,1,0
98,170.9254705,87,0,6,8566.541401,2534.595126,22,428.32707005,0,0,0
42,144.7141026,2937,306,0,1601.896284,951.8891394,7,228.84232628571428,0,0,0
119,168.8281397,501,77,28,2170.296817,551.9648276,21,103.34746747619047,1,0,0
60,118.8088122,1607,254,92,2653.436921,400.7073101,16,165.8398075625,0,0,1
3,50.32821361,1084,63,23,2274.207173,1650.575799,16,227.4207173,0,1,0
106,160.2585518,112,199,28,4828.974928,3178.144689,13,536.5527697777777,0,1,0
5,215.8764605,2465,412,0,925.0304742,490.5346749,16,115.628809275,0,0,1
46,60.0376594,1732,429,95,1443.441103,589.9503158,27,68.73529061904762,0,1,0
37,98.15654833,2938,372,26,4042.105947,1404.569949,22,237.7709380588236,0,0,0
34,62.74575283,1940,313,12,4668.226427,1066.10387,24,233.41132135,0,0,0
101,346.3382111,2225,149,0,3666.356368,1446.018362,11,333.3051243636364,0,0,0
78,190.9769901,1848,35,28,2314.364451,1317.170917,20,115.71822255,0,0,0
91,123.8217255,470,0,86,3423.421216,2355.455086,29,131.67004676923077,0,0,0
91,115.0010192,655,14,11,1822.449032,1197.962657,24,75.93537633333334,0,1,0
17,183.5959214,2601,325,15,3182.697466,1768.326087,23,198.918591625,0,0,0
132,309.913971,2567,293,76,4673.201532,2119.32992,20,274.89420776470587,0,1,0
22,132.0307891,921,272,7,632.1399703,420.7125087,30,26.339165429166663,0,1,0
25,63.26935458,1219,7,0,1187.584153,419.5127746,27,47.50336612,0,0,0
105,309.5828548,189,11,7,4285.245618,2322.605058,9,1071.3114045,0,0,1
20,24.75851394,552,65,14,1564.220191,821.8420876,3,521.4067303333334,0,0,1
51,113.8218829,694,274,42,3826.387247,2916.712292,26,182.2089165238096,0,1,0
7,36.67792977,2794,274,18,1130.116953,723.0277468,8,141.264619125,0,0,0
57,76.46614419,1713,0,52,1620.545554,793.9297612,25,85.2918712631579,0,1,0
4,62.62085256,3291,65,0,4996.233445,1345.047896,28,217.2275410869565,0,0,0
10,21.82921966,3365,26,0,2900.68855,1698.26517,14,414.3840785714286,0,1,0
33,176.6673157,2257,86,9,2493.388001,1103.630334,5,623.34700025,0,1,0
35,125.7867257,2193,304,0,351.6341884,243.7716509,11,39.07046537777778,0,0,0
42,68.3160358,1195,132,9,2702.164267,244.0548921,31,135.10821335,0,0,0
35,236.7279571,1756,29,53,1461.93937,954.0503968,8,182.74242125,0,0,0
3,113.8187866,1830,233,0,9624.439528,3213.049582,6,0.0,0,1,0
12,478.4156826,1796,69,35,6931.284783,4643.478348,23,315.0583992272728,0,1,0
121,270.5629064,1347,0,0,1791.379149,253.7758791,30,68.89919803846155,1,0,0
21,66.56667195,1619,147,11,3554.923388,2616.219443,19,197.4957437777778,0,0,0
30,132.3810261,2384,7,0,2485.994087,1197.510681,10,621.49852175,0,0,0
51,327.5779296,2285,381,0,5270.991501,2571.449828,16,329.4369688125,0,1,1
20,126.0890646,997,36,71,8054.086196,1506.312415,28,383.5279140952381,0,0,0
81,210.6642815,1189,0,68,5678.087584,1924.068701,29,258.0948901818182,0,0,0
67,134.0383111,2868,177,55,2541.396988,1453.3281,22,121.0189041904762,0,0,0
28,73.91682979,1722,293,17,5574.224608,3842.845897,8,929.0374346666669,0,0,0
50,133.1041552,783,201,0,2649.015822,1517.20997,19,203.77044784615384,0,0,0
54,320.3440758,1285,0,77,2575.812329,987.0413442,29,128.79061645,0,1,0
84,209.2083212,1980,0,0,4471.194505,2104.72818,22,298.07963366666667,0,1,0
93,436.0601833,1584,283,62,4183.409514,3121.889952,18,278.8939676,0,0,0
16,40.74102349,484,373,61,3628.581195,2134.416647,9,403.17568833333337,0,0,0
17,130.7650795,199,75,28,4626.208693,1499.578879,29,192.75869554166664,0,1,0
18,446.7149825,1115,228,0,4798.273478,3831.848313,31,191.93093912,0,0,0
16,20.26166523,960,279,58,5044.128761,3437.228784,24,219.3099461304348,0,1,0
47,72.55234081,1260,230,65,3644.416203,1020.232449,5,911.10405075,0,1,0
105,286.8490491,2826,168,0,2237.801562,1056.262155,4,0.0,0,0,0
94,156.839706,3479,286,17,1761.21432,310.7107283,28,67.7390123076923,0,0,0
95,192.6382907,359,142,0,4032.868589,2695.612209,1,0.0,0,0,1
99,295.5242311,2482,167,0,3396.139646,1841.313356,2,0.0,0,0,1
91,236.2949809,1031,34,65,2810.720839,1245.591383,0,0.0,0,0,0
63,121.4956353,2231,0,9,2427.257066,831.6080142,21,134.84761477777778,0,0,0
39,132.1688328,2279,194,0,2626.224474,1437.792565,24,109.42601975,0,1,1
30,53.99957919,710,2,30,5661.684796,2816.030953,26,283.0842398,0,1,0
112,321.7948003,2298,237,58,1243.198074,675.2571618,29,54.05209017391304,1,1,0
55,120.0854852,2515,0,0,2641.117738,2125.9414,16,188.651267,0,0,0
23,56.53640154,677,309,0,5052.460683,868.0307127,7,1010.4921366,0,0,0
47,90.50690136,1714,0,0,1586.463423,733.9737947,15,122.03564792307692,0,1,0
102,113.3790556,2228,14,0,2817.48184,2011.724274,17,216.7293723076923,0,1,0
45,116.6071611,3240,14,79,1762.324979,1006.688166,10,293.7208298333333,0,1,0
15,85.47546123,1305,25,10,2727.785623,513.498205,7,389.6836604285714,0,0,0
32,52.76008722,314,0,0,1724.225763,904.4785419,0,0.0,0,0,0
19,55.70118982,943,13,0,1234.079017,865.2079368,4,308.51975425,0,1,0
64,245.6239413,3016,0,92,4457.568347,1293.012432,25,222.87841735,0,1,0
34,174.1668226,1461,0,82,3478.887784,2343.429301,6,1159.6292613333333,0,1,0
155,234.4007225,2503,205,40,9041.333182,4364.070565,28,347.7435839230769,1,1,0
14,403.4809775,1267,14,3,2585.059579,1690.346282,24,112.39389473913045,0,0,0
55,129.2595571,2922,310,15,2569.150563,1948.197506,11,367.021509,0,0,1
122,269.0140577,546,0,38,6446.129773,2611.811183,16,644.6129773,0,0,0
25,130.3460437,3251,67,29,7712.174513,972.9860613,19,642.6812094166667,0,1,0
80,131.9129271,2929,37,0,4255.626774,866.8800721,12,472.8474193333334,0,1,1
15,157.9590826,343,53,44,1730.393075,455.4794569,25,108.1495671875,0,1,0
118,167.2459681,2680,12,0,6206.237566,1879.524603,10,886.6053665714286,0,0,0
129,198.6097411,2053,62,39,2600.810383,1077.126474,26,113.07871230434785,1,0,0
6,65.07366594,3023,140,0,1378.65079,385.7186153,27,76.59171055555555,0,1,0
27,256.7593388,3012,136,72,9522.433102,1175.241192,10,952.2433102,0,0,0
